,tweet_id,text,rating_numerator,rating_denominator,name,dogs_stage,year,month,day,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count,retweet_count
0,667443425659232256,Exotic dog here. Long neck. Weird paws. Obsessed with bread. Waddles. Flies sometimes (wow!). Very happy dog. 6/10 https://t.co/rqO4I3nf2N,6.0,10,,,2015,11,19,https://pbs.twimg.com/media/CUM8QZwW4AAVsBl.jpg,1.0,Goose,0.980815,False,Drake,0.00691777,False,Hen,0.00525517,False,833,620
1,667453023279554560,Meet Cupcake. I would do unspeakable things for Cupcake. 11/10 https://t.co/6uLCWR9Efa,11.0,10,Cupcake,,2015,11,19,https://pbs.twimg.com/media/CUNE_OSUwAAdHhX.jpg,1.0,Labrador retriever,0.8256700000000001,True,French bulldog,0.0566394,True,Staffordshire bullterrier,0.0540184,True,327,96
2,667455448082227200,This is Reese and Twips. Reese protects Twips. Both think they're too good for seat belts. Simply reckless. 7/10s https://t.co/uLzRi1drVK,7.0,10,Reese,,2015,11,19,https://pbs.twimg.com/media/CUNHMXTU8AAS3HH.jpg,1.0,Tibetan terrier,0.676376,True,Irish terrier,0.054933400000000014,True,Yorkshire terrier,0.0405755,True,203,66
3,667470559035432960,This is a northern Wahoo named Kohl. He runs this town. Chases tumbleweeds. Draws gun wicked fast. 11/10 legendary https://t.co/J4vn2rOYFk,11.0,10,,,2015,11,19,https://pbs.twimg.com/media/CUNU78YWEAECmpB.jpg,1.0,Toy poodle,0.304175,True,Pug,0.223427,True,Lakeland terrier,0.07331649999999999,True,273,102
4,667491009379606528,Two dogs in this one. Both are rare Jujitsu Pythagoreans. One slightly whiter than other. Long legs. 7/10 and 8/10 https://t.co/ITxxcc4v9y,7.0,10,,,2015,11,19,https://pbs.twimg.com/media/CUNniSlUYAEj1Jl.jpg,1.0,Borzoi,0.852088,True,Ice bear,0.13226400000000002,False,Weasel,0.00572998,False,559,242
5,667495797102141441,This is Philippe from Soviet Russia. Commanding leader. Misplaced other boot. Hung flag himself. 9/10 charismatic af https://t.co/5NhPV8E45i,9.0,10,Philippe,,2015,11,20,https://pbs.twimg.com/media/CUNr4-7UwAAg2lq.jpg,1.0,Chihuahua,0.143957,True,Christmas stocking,0.118651,False,Ski mask,0.0924817,False,565,294
6,667502640335572993,Say hello to Hall and Oates. Oates is winking and Hall is contemplating the artistic entropy of the universe. 11/10s https://t.co/n5Wtb5Hvsl,11.0,10,Hall,,2015,11,20,https://pbs.twimg.com/media/CUNyHTMUYAAQVch.jpg,1.0,Labrador retriever,0.996709,True,Golden retriever,0.00168821,True,Beagle,0.0007116669999999999,True,563,231
7,667509364010450944,This a Norwegian Pewterschmidt named Tickles. Ears for days. 12/10 I care deeply for Tickles https://t.co/0aDF62KVP7,12.0,10,,,2015,11,20,https://pbs.twimg.com/media/CUN4Or5UAAAa5K4.jpg,1.0,Beagle,0.636169,True,Labrador retriever,0.119256,True,Golden retriever,0.08254919999999999,True,7148,2272
8,667517642048163840,This is Dook &amp; Milo. Dook is struggling to find who he really is and Milo is terrified of what that might be. 8/10s https://t.co/fh5KflzBR0,8.0,10,Dook,,2015,11,20,https://pbs.twimg.com/media/CUN_wiBUkAAakT0.jpg,1.0,Italian greyhound,0.125176,True,Standard poodle,0.08457150000000001,True,Cocker spaniel,0.0813469,True,389,203
9,667524857454854144,Another topnotch dog. His name is Big Jumpy Rat. Massive ass feet. Superior tail. Jumps high af. 12/10 great pup https://t.co/seESNzgsdm,12.0,10,,,2015,11,20,https://pbs.twimg.com/media/CUOGUfJW4AA_eni.jpg,1.0,Hare,0.447893,False,Dhole,0.0924353,False,Chesapeake bay retriever,0.08812239999999999,True,1798,1198
